买家会员名,宝贝ID,推荐指数
07kit,543889179481,0.0
07kit,544106282196,0.0
07kit,544100858313,0.0
07kit,544099790786,0.0
07kit,544066720474,0.0
07kit,544017279596,0.0
07kit,544016559367,0.0
07kit,35721027449,0.0
0号仓库,36286235128,2.163816002591513
0号仓库,544115759872,1.9107251147881834
0号仓库,546275765548,1.5183333333333333
0号仓库,546243180299,1.4917072091994692
0号仓库,539677826038,1.4178039702233252
0号仓库,42577833473,1.382825630252101
0号仓库,35798985871,1.2943387881468378
0号仓库,36058620932,1.2920110192837464
0号仓库,44928090920,1.275698602794411
0号仓库,545959606207,1.1823853211009174
0小芄子0,36286235128,1.982438850791826
0小芄子0,540662291619,1.5890974967061924
0小芄子0,531877266868,1.3237783595113437
0小芄子0,546275765548,1.3183333333333334
0小芄子0,540520509637,1.2959065067224065
0小芄子0,545939669017,1.2600267379679144
0小芄子0,529339155756,1.1583333333333332
0小芄子0,44928090920,1.1248770065502798
0小芄子0,540407272609,1.0267897091722595
0小芄子0,549710009588,1.0047440423654015
1010吴丹丹,39539028043,2.125946390767571
1010吴丹丹,537396783238,1.4643422926900702
1010吴丹丹,540520509637,1.3746835443037975
1010吴丹丹,35722333869,1.1642857142857141
1010吴丹丹,520310825412,1.1523345041026691
1010吴丹丹,550715341924,1.1010351035103512
1010吴丹丹,546104970758,1.0863636363636364
1010吴丹丹,533204346200,1.0657894736842104
1010吴丹丹,522078297513,1.0580168776371308
1010吴丹丹,521926312352,1.0505892345884988
1013ssss,42577833473,1.6863425925925928
1013ssss,43104145123,1.0325925925925927
1013ssss,528166273868,1.0224433388612495
1013ssss,537252200486,1.0164021164021164
1013ssss,39386028930,1.0037037037037038
1013ssss,537215013586,0.9925925925925927
1013ssss,35721027449,0.0
1013ssss,544106282196,0.0
1013ssss,544100858313,0.0
1013ssss,544099790786,0.0
1046361414ff,549882564050,5.703785743052759
1046361414ff,45404080098,4.676221640488656
1046361414ff,42646163798,4.5973456714964085
1046361414ff,522151739462,4.482174021441037
1046361414ff,546928423058,4.461582000849017
1046361414ff,36500131840,4.458651359364159
1046361414ff,522191965500,4.43455497382199
1046361414ff,37941111428,2.827090655692298
1046361414ff,544115759872,2.1163863266413454
1046361414ff,544016559367,1.8809780654440846
1103989698_99,544115759872,2.1163863266413454
1103989698_99,36286235128,1.9078463683610092
1103989698_99,549882564050,1.7037857430527588
1103989698_99,35798985871,1.5946248600223965
1103989698_99,35753244214,1.582236842105263
1103989698_99,539677826038,1.5120879084824657
1103989698_99,35722000205,1.4845070494888342
1103989698_99,537180206236,1.4601919819311124
1103989698_99,35877393642,1.3918466686948585
1103989698_99,520310825412,1.3190722650541895
1113开心,549698359290,1.0
1113开心,543616921912,1.0
1113开心,543719829706,1.0
1113开心,543672634097,1.0
1113开心,550977477078,1.0
1113开心,543644663788,1.0
1113开心,544017279596,0.0
1113开心,544100858313,0.0
1113开心,544099790786,0.0
1113开心,544066720474,0.0
113992633呆呆,39539028043,3.441955590183093
113992633呆呆,544768785584,2.240307486631016
113992633呆呆,35877393642,1.879462767766066
113992633呆呆,520310825412,1.833965844402277
113992633呆呆,44928090920,1.6997182106375484
113992633呆呆,527475911875,1.6862745098039216
113992633呆呆,545957998521,1.6550802139037433
113992633呆呆,545538490326,1.599101709649377
113992633呆呆,530449665002,1.5916552667578658
113992633呆呆,545516801138,1.5413273001508296
115刘博,545974803385,1.1748120300751879
115刘博,544106282196,0.9642857142857142
115刘博,35721027449,0.0
115刘博,544016559367,0.0
115刘博,544106286825,0.0
115刘博,544100858313,0.0
115刘博,544099790786,0.0
115刘博,544066720474,0.0
115刘博,544017279596,0.0
115刘博,543889179481,0.0
1160970379jia,35722000205,1.4586726998491704
1160970379jia,520310825412,1.2926385442514474
1160970379jia,45404080098,1.1732905982905983
1160970379jia,527475911875,1.144947209653092
1160970379jia,548547222435,1.1015384615384616
1160970379jia,540407272609,1.0517076073660199
1160970379jia,528109847799,1.033513903936439
1160970379jia,521926312352,0.9948717948717947
1160970379jia,545912368452,0.9760683760683762
1160970379jia,546928423058,0.9586509586509586
1213jk0,537396783238,2.61295361691901
1213jk0,35877393642,1.4707940371159112
1213jk0,528109847799,1.1661724734371137
1213jk0,527397362582,1.1641604010025062
1213jk0,533204346200,1.0894736842105261
1213jk0,522566248653,1.0325077399380804
1213jk0,545566976422,1.0272556390977443
1213jk0,532940035080,1.0049342105263157
1213jk0,535612234886,1.0010066148979004
1213jk0,538540548218,0.9974937343358394
1234567890爱恨一瞬间,35798985871,1.605263157894737
1234567890爱恨一瞬间,539677826038,1.4178039702233252
1234567890爱恨一瞬间,529055709096,1.3571428571428572
1234567890爱恨一瞬间,545912368452,1.0444444444444445
1234567890爱恨一瞬间,530710879153,1.037037037037037
1234567890爱恨一瞬间,547355238181,1.032258064516129
1234567890爱恨一瞬间,540407272609,1.028506948603629
1234567890爱恨一瞬间,37444707994,1.0
1234567890爱恨一瞬间,35750823403,1.0
1234567890爱恨一瞬间,538658337414,1.0
123456cyy43,549882564050,2.262188515709642
123456cyy43,536083448292,1.3038821162267724
123456cyy43,37941111428,1.1187855610484096
123456cyy43,550966828606,1.0364360073484384
123456cyy43,549710009588,1.031792697935184
123456cyy43,538494418449,1.022660716775903
123456cyy43,539522491801,1.0182742021750757
123456cyy43,36416065395,1.0179577464788732
123456cyy43,538540548218,1.016767270288397
123456cyy43,547389639874,1.0162135604323617
12345快乐小不点,538585695146,2.1213047910295617
12345快乐小不点,544115759872,2.1163863266413454
12345快乐小不点,546243180299,1.7017141477547078
12345快乐小不点,537180206236,1.6263552960800667
